Question,Fine-tuned Answer
How does using BGP Dynamic Neighbors reduce ACI configuration complexity?,Using BGP Dynamic Neighbors with the Cluster Subnet as BGP neighbors reduces the ACI config complexity and simplifies connectivity between Kubernetes nodes.
What is the expected connectivity in an AS Per Cluster design?,"In an AS Per Cluster design, Pods running on the Kubernetes cluster can be directly accessed from inside ACI or outside through transit routing, and Pod-to-pod and node-to-node connectivity happens over the same L3Out and external endpoint group (EPG)."
How does load-balancing work for Exposed Services in ACI?,Exposed Services are load-balanced by ACI through ECMP 64-way provided by BGP.
What is the significance of using AS 65002 for leaf switches in the AS Per Cluster design?,Using AS 65002 as the AS for leaf switches simplifies the physical connectivity and configuration process in the AS Per Cluster design.
What is the purpose of using floating SVI in Cisco ACI?,"Floating SVI enables you to configure an L3Out without specifying logical interfaces, saving configuration efforts when Virtual Machines (VMs) move between hosts. It also relaxes the requirement of Layer-2 communications between routing nodes, allowing designs with a single subnet and encapsulation for the whole cluster."
What is the primary advantage of using floating SVI over standard SVI in Cisco ACI?,"The primary advantage of using floating SVI is that it provides a simpler and more flexible configuration, which can simplify cluster scalability requirements. It also allows for mixed mode clusters (VMs and bare metal) and supports any hypervisor."
What are the key benefits of floating SVI L3Out compared to standard SVI L3Out?,"Floating SVI L3Out offers higher fabric scale (up to 200 floating SVI IPs), more per-fabric L3Outs (up to 2400), and is supported on ACI version 5.0 or newer. It also allows for a single subnet for the whole cluster and a single encapsulation (VLAN) for the whole cluster."
What are the limitations of floating SVI compared to standard SVI in Cisco ACI?,"The primary limitation of floating SVI is its scale requirement, which can be challenging for large clusters. Additionally, it requires a more complex configuration due to the need for routing nodes to peer with directly attached anchor nodes."
What is the purpose of peering K8s nodes with directly attached anchor nodes in Cisco ACI?,Peering K8s nodes with directly attached anchor nodes is required to ensure that routes generated by nodes directly connected to the anchor nodes are preferred over routes from nodes not directly connected to the Anchor Nodes.
What is the high-level architecture of standard SVI design in Cisco ACI?,"The high-level architecture of standard SVI design involves K8s nodes peering with local (same rack) border leaves, but routing devices are only attached to the L3Out. It is not meant to attach servers directly on the SVI of an L3Out."
What is the recommended approach for allocating subnets and encapsulations in standard SVI design?,The recommended approach is to allocate a /29 subnet for every server and a dedicated encapsulation (VLAN) on a per-node basis.
What is the purpose of using physical domains with floating SVI in Cisco ACI?,"Using physical domains with floating SVI provides flexibility and scalability, as it allows for mixed mode clusters (VMs and bare metal) and supports any hypervisor."
How does standard SVI design differ from floating SVI design in terms of Layer-2 switching?,"Standard SVI design does not allow for Layer-2 switching between K8s nodes connected to an external bridge domain, as the L3Out creates a different Layer 2 domain than a regular bridge domain."
"What is the recommended approach for ensuring that cluster follows the standard SVI design ""best practice""?","The recommended approach involves allocating a /29 subnet for every server and a dedicated encapsulation (VLAN) on a per-node basis, as well as not having any Layer-2 switching between K8s nodes connected to an external bridge domain."
What is the role of floating SVI in Cisco ACI L3Out?,"Floating SVI plays a crucial role in Cisco ACI L3Out by providing a simple and flexible configuration that can simplify cluster scalability requirements, allowing for mixed mode clusters (VMs and bare metal) and supporting any hypervisor."
How does peering with directly attached anchor nodes affect routing decisions in floating SVI?,"Peering with directly attached anchor nodes ensures that routes generated by nodes directly connected to the anchor nodes are preferred over routes from nodes not directly connected to the Anchor Nodes, improving routing efficiency."
What is the primary consideration when choosing between floating SVI and standard SVI in Cisco ACI?,"The primary consideration is scalability requirements; if the cluster can accommodate the increased complexity of floating SVI, it may be a better choice. Otherwise, standard SVI may be more suitable due to its simpler configuration."
What are the implications of using floating SVI on ACI version and fabric scale?,Using floating SVI requires ACI version 5.0 or newer and can provide higher fabric scale (up to 200 floating SVI IPs) compared to standard SVI L3Out.
"What is the primary purpose of configuring the virtual switch's port-group load-balancing policy to ""route based on IP address""?","The primary purpose of configuring the virtual switch's port-group load-balancing policy to ""route based on IP address"" is to ensure that traffic is routed to the correct destination based on the IP addresses of the nodes and services in the Kubernetes cluster."
Why should multiple Kubernetes nodes not be run per hypervisor?,"Multiple Kubernetes nodes should not be run per hypervisor because a failure of the hypervisor would result in a double or more Kubernetes node failure, leading to potential downtime and data loss."
What is the benefit of using LACP bonding for physical NICs on Kubernetes nodes?,"The benefit of using LACP bonding for physical NICs on Kubernetes nodes is that it allows creating nodes with a single interface, simplifying routing management on the nodes, while also enabling additional interfaces as needed."
How does the ACI fabric advertise pod subnets to individual nodes for ease of troubleshooting and visibility?,"The ACI fabric configures itself to advertise back to individual nodes the /26 pod subnets, providing visibility into node-specific traffic."
What is the purpose of the L3Out secondary IP as a default gateway for Kubernetes nodes?,"The L3Out secondary IP serves as a default gateway, allowing for zero impact during leaf reload or interface failures and ensuring seamless convergence to the remaining leaf."
Why is there no need for a dedicated management interface when using the L3Out secondary IP as a default gateway?,"The node remains reachable even before eBGP is configured because of the L3Out secondary IP, eliminating the need for a dedicated management interface."
What subnets does each Kubernetes node advertise to ACI?,"Each Kubernetes node advertises its node subnet, allocated subnet(s) inside the pod supernet (a /26 by default), host route (/32) for any pod on the node outside of the pod subnets allocated to the node, and the whole service subnet advertised from each node."
What is the AS override function in ACI BGP configuration?,The AS override function replaces the AS number from the originating router with the AS number of the sending BGP router in the AS Path of outbound routes.
Why is disabling Peer AS Check recommended in ACI BGP configuration?,"Disabling Peer AS Check ensures that the peer autonomous number check is disabled, allowing for smoother BGP session establishment and convergence."
What is the purpose of BGP Graceful Restart in ACI BGP configuration?,"BGP Graceful Restart ensures that connectivity is not impacted as long as the data plane is correctly programmed, even in the event of a BGP process restart or crash."
How do Kubernetes nodes handle BGP session resets due to Calico's IPAM issues?,Relaxing the timers from 1s/3s to 10s/30s for ACI BGP timers helps avoid BGP session resets caused by Calico's IPAM issues.
What is the recommended value for the Max BGP ECMP path in ACI BGP configuration?,"The recommended value for the Max BGP ECMP path is 64, ensuring that the internal MP-BGP process also installs additional paths to spread the load across up to 16 K8s nodes."
Can a node potentially borrow IPs from a different node's pod subnet in case of IP exhaustion?,"Yes, a node can potentially borrow IPs from a different node's pod subnet in case of IP exhaustion, and this is handled by advertising a host route for the borrowed IP."
What is the purpose of draining a Kubernetes node before performing maintenance or reloading?,"Draining a node ensures that all pods present on that node are terminated first, then restarted on other nodes, minimizing disruption to traffic."
How does the design for scalability in Cisco ACI Release 5.2 limit the number of nodes per cluster?,"The design limits the scale to a maximum of six or three racks per Kubernetes cluster, assuming an architecture with two leaf switches per node."
What happens to BGP routes when a Kubernetes node is drained?,"The BGP process running on that node stops advertising service addresses toward ACI, ensuring there is no impact on traffic flows."
"How many LPM entries can the design currently support using ""scale profiles""?","Depending on the selected profile, the design can support from 20,000 to 128,000 LPMs."
What is the purpose of Longest Prefix Match (LPM) in Cisco ACI?,LPM routes are placed in the leaf switch's forwarding table with the VTEP IP address of the remote leaf switch where the external router is connected.
How do Kubernetes nodes advertise pod host routes and service subnets to border leaves?,Every Kubernetes node advertises its pod host routes (aggregated to /26 blocks when possible) and service subnets to the local border leaf.
What are the requirements for IP allocation schemes using floating SVI or standard SVI in ACI integration with Calico?,"For floating SVI, a subnet big enough to contain as many host addresses as required K8s nodes plus one host address for every anchor node is allocated. For standard SVI, a supernet big enough to contain as many /29 subnets as nodes is used."
What happens when an external routed domain is attached to the ACI fabric?,The nodes attach to the ACI fabric through an external routed domain instead of a regular physical domain.
How do you configure the interface policy groups and AAEP for your Kubernetes nodes in ACI Release 5.2?,You bind them to that single external routed domain and physical domain when configuring the interface policy groups and AAEP.
What is the purpose of creating a new L3Out in Cisco ACI Release 5.2?,"To configure the basic L3Out parameters, including enabling BGP."
How do you configure floating SVI or standard SVI IP allocation schemes in ACI integration with Calico?,Follow steps 4 (for floating SVI) or 5 (for standard SVI).
What is the relationship between Kubernetes nodes and LPM entries in Cisco ACI?,Every Kubernetes node contributes to the number of LPM entries supported by the design.
How does the design for scalability in Cisco ACI Release 5.2 impact the number of /29 subnets required?,The design requires a supernet big enough to contain as many /29 subnets as nodes.
What is the purpose of attaching an external routed domain to the L3Out in Cisco ACI Release 5.2?,To enable BGP and configure the basic L3Out parameters.
How do you configure BGP configuration for your Kubernetes nodes in ACI Release 5.2?,"You create a new L3Out, bind it to that single external routed domain and physical domain, and enable BGP."
What is the purpose of Calico in Kubernetes?,"Calico is a network management solution for Kubernetes that provides a set of tools and features to manage network traffic, security, and scalability. It allows administrators to configure network policies, peer with external networks, and provide services and endpoints."
What is BGP (Border Gateway Protocol) and its role in Calico?,"BGP is a routing protocol used to exchange route information between autonomous systems. In Calico, BGP is used for peering with external networks, including ACI (Application Centric Infrastructure)."
"What is the purpose of the ""Floating SVI design"" mentioned in the text?","The ""Floating SVI design"" refers to a method of configuring virtual switches (SVIs) in ACI to allow for dynamic routing and peering between Calico and ACI networks."
How does Calico BGP Peering work with Kubernetes nodes?,"Calico BGP Peering allows Kubernetes nodes to peer with ACI leaves, enabling the exchange of routing information and providing connectivity between Calico and ACI networks."
What is the purpose of creating a secret to store BGP passwords in Calico?,"Creating a secret to store BGP passwords ensures that sensitive information is protected and secured, making it more difficult for unauthorized access."
How does Calico handle node-to-node meshing in BGP configuration?,"In Calico, node-to-node meshing is disabled by default to reduce network complexity and improve scalability. However, administrators can enable it if required."
"What is the role of the ""bgp-asNumber"" value in Calico's BGP configuration?","The ""bgp-asNumber"" value specifies the autonomous system number (ASN) used for BGP peering with ACI leaves, ensuring that routing information is properly exchanged."
How does Calico handle service cluster IP and external service IP subnets?,Calico configures service cluster IP and external service IP subnets to allow for dynamic routing and peering between Calico and ACI networks.
What is the purpose of using a Role and RoleBinding in Calico's BGP configuration?,"Using a Role and RoleBinding ensures that the calico-node ServiceAccount has proper access to secrets, including BGP passwords, to perform its duties."
How does Calico simplify peering configuration with Kubernetes nodes labeled by rack_id?,"By labeling Kubernetes nodes with rack_id, administrators can easily select nodes for BGP peering and simplify the peering configuration process."
"What is the purpose of using the ""peerIP"" value in Calico's BGP peering configuration?","The ""peerIP"" value specifies the IP address used for BGP peering with ACI leaves, ensuring that routing information is properly exchanged."
How does Calico handle password security in its BGP configuration?,"Calico stores BGP passwords securely using secrets, which ensures that sensitive information is protected and secured."
What is the recommended method for configuring BGP peering in Calico?,The recommended method involves labeling Kubernetes nodes with rack_id and setting the peerIP to the Leaf IP address for the BGP peering.
"What is the purpose of using Calico IPAM configuration and controlling IP allocation for specific pods, namespaces, or nodes?","The purpose is to manage IP address allocation efficiently, ensuring proper isolation and security within Kubernetes clusters. This involves configuring IP addresses, subnets, and routing rules to meet specific network requirements."
How does the default behavior of allocating additional /26 subnets to nodes work when they exhaust their existing allocations?,"When a node exhausts its existing /26 subnet allocation, Calico automatically allocates new subnets to ensure there is always sufficient IP address space available. This ensures that the node can maintain connectivity and function as expected."
"What is the role of Kube-Router in Kubernetes networking, and what are the requirements for deploying it?","Kube-Router acts as a bridge between the Kubernetes cluster's local network and the external internet or other networks. To deploy Kube-Router, you need to set specific configuration parameters, such as cluster AS numbers, IP advertisement, and routing rules."
What is the purpose of setting up the kube-router.io/peer.annotations on Kubernetes nodes?,"These annotations configure how Kube-Router interacts with ACI (Application Centric Infrastructure) leaves. By specifying peer IPs, AS numbers, and passwords, you can establish secure BGP connections between your Kubernetes cluster and ACI."
What are some key considerations when deploying Kube-Router in a Kubernetes cluster?,"Important factors include selecting the appropriate Kube-Router version (version 1.5.1 or above), ensuring that Kubernetes node network configurations are complete, and setting up the correct configuration parameters for BGP routing."
How does the kube-router.io/peer.annotations annotation affect the connectivity between Kubernetes nodes and ACI leaves?,"By providing accurate information about the peer IPs, AS numbers, and passwords, this annotation ensures that Kube-Router can establish secure connections with the specified ACI leaves, enabling proper routing and communication between the clusters."
What are some potential issues that may arise when deploying Kube-Router in a Kubernetes cluster?,"Issues might include compatibility problems with older versions of Kube-Router or ACI, incorrect configuration parameters, or misconfigured node annotations. It's essential to follow best practices and consult documentation for proper setup."
How does Calico IPAM configuration impact the overall security of a Kubernetes cluster?,"Properly configured Calico IPAM ensures that IP addresses are allocated efficiently and securely, reducing the risk of unauthorized access or egress from the cluster. This helps protect sensitive data and maintain network isolation."
What is the significance of setting up default route configurations in ACI L3Out secondary IPs for Kubernetes node networking?,"The default route configuration ensures that Kubernetes nodes can communicate with other pods within the cluster without additional configuration steps, simplifying network management and reducing latency."
How does the BGP configuration affect routing decisions within a Kubernetes cluster?,"BGP (Border Gateway Protocol) is used to establish routes between the Kubernetes cluster's local network and external networks. Properly configured BGP parameters enable efficient routing, ensuring that pods can communicate with each other and access external resources."
What are some common mistakes when deploying Kube-Router in a Kubernetes cluster?,"Common errors include incorrect configuration parameters, incomplete node annotations, or incompatible versions of Kube-Router or ACI. These issues can lead to connectivity problems, security vulnerabilities, or scalability limitations."
How does the kube-router.io/peer.passwords annotation impact the security of BGP connections with ACI leaves?,"By specifying passwords for each peer leaf, this annotation ensures that secure BGP connections are established, protecting against unauthorized access and maintaining network isolation."
"What is the role of IBGP (Internal BGP) in Kube-Router configuration, and why should it be disabled?","IBGP is used for local routing within the cluster. However, when enabled, it can lead to scalability issues and security vulnerabilities. Disabling IBGP ensures that only necessary routes are established, reducing complexity and improving overall network performance."
How does the override-nexthop parameter in Kube-Router configuration affect routing decisions?,This parameter specifies whether Kube-Router should use the Node IP as the next hop for packets destined for ACI leaves. Properly configured this value ensures that traffic is routed efficiently and securely between clusters.
What are some best practices for deploying Kube-Router in a Kubernetes cluster to ensure smooth operation?,"Best practices include selecting compatible versions, setting correct configuration parameters, ensuring node annotations are accurate, and monitoring cluster performance to identify potential issues early."
What is the purpose of using Kube-Router in a Kubernetes cluster?,"The Kube-Router is used to provide routing and network policies for the Kubernetes cluster, allowing it to interact with external networks and manage traffic flow."
How does the Kube-Router handle node annotations?,"The Kube-Router can use node annotations to configure routing and network policies, allowing administrators to customize the behavior of the router based on the needs of their application."
What are some limitations of Cilium's BGP configuration?,Two main limitations of Cilium's BGP configuration at the time of writing are the lack of support for BGP MD5 Password Authentication and externalTrafficPolicy: Local. These limitations are being addressed in newer versions of Cilium.
How can administrators install Cilium using Helm?,"To install Cilium using Helm, first add the Cilium repository to your cluster, then update the repository, and finally install Cilium using the Helm CLI."
What is the difference between eBGP and iBGP in Cilium's routing configuration?,"eBGP (External BGP) allows Cilium to advertise routes from external networks, while iBGP (Interior BGP) allows Cilium to advertise routes within its own network."
What is the purpose of the ACI L3Out secondary IP in a Kubernetes cluster?,"The ACI L3Out secondary IP is used as the default route for the Kubernetes cluster, allowing it to communicate with external networks and manage traffic flow."
How does Cilium handle service exposure and local routing?,"By default, Cilium advertises all exposed services through BGP, regardless of whether they are running on a specific node. To address this, Cilium has implemented the feature of externalTrafficPolicy: Local in newer versions."
What is the significance of the Calico example in the context of ACI checks?,"The Calico example provides relevant information and commands for performing ACI checks, which can be reused for similar configurations."
"What is Cilium's installation architecture, and how does it support different use cases?",Cilium can be installed using Helm or other installation methods. This allows administrators to customize the deployment of Cilium based on their specific needs and requirements.
How can administrators configure Cilium for eBGP and iBGP routing?,"Using the provided YAML configuration file, administrators can set up Cilium for eBGP and iBGP routing. This configuration will need to be adapted to meet specific production requirements."
What is the role of the BGP MD5 Password Authentication in Cilium's routing configuration?,"Currently, Cilium lacks support for BGP MD5 Password Authentication, which can affect its ability to securely manage traffic flow and network policies."
How does Cilium handle the installation of additional packages or tools?,"Using the Helm CLI, administrators can easily install additional packages or tools, such as the Cilium CLI, to support their cluster's requirements."
"What are some common limitations of Cilium at the time of writing, and how are they being addressed?",Two notable limitations of Cilium include lack of support for BGP MD5 Password Authentication and externalTrafficPolicy: Local. These limitations are being addressed through newer versions of the software.
Can administrators reuse commands from the Calico example for similar ACI configurations?,"Yes, the same commands can be reused for similar configurations as per the provided information in the Calico example."
"What is Cilium's installation process using Helm, and how does it support different cluster sizes?",The Helm installation process allows administrators to easily deploy Cilium across different-sized clusters by customizing the configuration file (values.yaml) for their specific needs.
What is the purpose of using a cluster pool in Cilium's IPAM mode?,"The cluster pool in Cilium's IPAM mode is used to manage IP addresses for multiple pods in a cluster, ensuring efficient allocation and utilization of IP resources."
How does the announce feature in Cilium relate to the allocation of service LoadBalancer IPs?,"The announce feature in Cilium enables the announcement of service LoadBalancer IPs, which allows the service to be discovered by other nodes and pods within the cluster."
What is the difference between clusterPoolIPv4PodCIDRList and clusterPoolIPv6PodCIDRList in Cilium's IPAM mode?,"The clusterPoolIPv4PodCIDRList specifies the IPv4 CIDR range for pod networking, while the clusterPoolIPv6PodCIDRList specifies the IPv6 CIDR range for pod networking."
How does the maglev algorithm work in Cilium's LoadBalancer configuration?,"The maglev algorithm is a load balancing strategy that uses a combination of factors to determine the best node to route traffic to, providing efficient and scalable load balancing."
What is the purpose of the CiliumLoadBalancerIPPool API object?,"The CiliumLoadBalancerIPPool API object defines the IP pool for LoadBalancer services, ensuring consistent and efficient allocation of IP addresses for these services."
How does the CiliumBGPPeeringPolicy API object relate to BGP peering in Cilium?,"The CiliumBGPPeeringPolicy API object defines the configuration for BGP peering in Cilium, including node selectors, virtual routers, and neighbor configurations."
What is the purpose of annotating a node with a RackID using Kubernetes labels?,"Annotating a node with a RackID using Kubernetes labels provides a way to associate the node's ID with its physical location or configuration, enabling easier management and monitoring."
How does Cilium's BGP CLI utility display information about BGP peers?,"The cilium bgp peers command displays information about BGP peers, including local and peer AS numbers, peer addresses, session states, and uptime."
What is the purpose of using a BGP summary feature in Cilium?,"The BGP summary feature provides an overview of BGP peering sessions, including the number of peers, capable peers, and session states, enabling easier monitoring and management."
How does Cilium's IPAM mode relate to pod networking and IP address allocation?,"Cilium's IPAM mode manages IP addresses for multiple pods in a cluster, ensuring efficient allocation and utilization of IP resources for pod networking."
What is the purpose of the fabric 203 show ip bgp summary vrf command in ACI?,"The fabric 203 show ip bgp summary vrf command displays BGP summary information for a specific VRF (Virtual Routing and Forwarding) instance, including the number of peers, capable peers, and session states."
How does Cilium's LoadBalancer configuration relate to pod networking and IP address allocation?,"Cilium's LoadBalancer configuration is integrated with pod networking, ensuring efficient allocation and utilization of IP addresses for LoadBalancer services."
What is the purpose of using a cluster pool in Cilium's IPAM mode with IPv6?,"The cluster pool with IPv6 in Cilium's IPAM mode manages IP addresses for multiple pods in a cluster, ensuring efficient allocation and utilization of IPv6 resources."
"How does Cilium's BGP CLI utility display information about BGP peers, including IPv6 information?","The cilium bgp peers command displays information about BGP peers, including local and peer AS numbers, peer addresses (both IPv4 and IPv6), session states, and uptime."
What is the purpose of using Kubernetes labels to annotate nodes in Cilium clusters?,"Using Kubernetes labels to annotate nodes enables easier management and monitoring of nodes within Cilium clusters, as well as associating node IDs with their physical location or configuration."
What is the purpose of BGP (Border Gateway Protocol) attribute entries in Cisco ACI?,"BGP attribute entries provide information about the network topology, routing policies, and other attributes that are used to determine the best path for forwarding packets between networks."
How do Cilium nodes advertise subnets to ACI?,Cilium nodes advertise a /27 subnet to ACI from the pod subnet. This allows ACI to receive information about the network topology and make routing decisions based on this data.
What is the purpose of a LoadBalancer service in Cisco ACI?,A LoadBalancer service provides high availability and scalability for web applications by distributing incoming traffic across multiple instances running behind a virtual IP address.
How do Kubernetes services become advertised to ACI?,"Once the eBGP configuration is completed, pods and service IPs will be advertised to the ACI fabric. This allows ACI to provide connectivity between the cluster's L3Out external EPG and other EPGs in the network."
What are the benefits of using IPv6 and Dual Stack designs in Cisco ACI?,"Cisco ACI supports both IPv4, IPv6 or Dual Stack designs, which provides flexibility and scalability for networks that need to support multiple address families."
How do Calico and Kubernetes routers handle routing decisions between nodes and devices outside the fabric?,Transit routing needs to be configured between the Calico L3Out and one (or more) L3Outs connecting to an external routed domain. This requires adding required consumed/provided contracts between the external EPGs.
What is the purpose of L3Out logical interface profiles in Cisco ACI?,"Under the L3Out logical interface profile, it is possible to visualize the BGP neighbors configured, which allows network administrators to easily verify the status of the K8s cluster."
How do network administrators verify the status of a Kubernetes cluster using the L3Out logical interface profiles?,Network administrators can use the L3Out logical interface profiles to visualize the BGP neighbors configured and verify the status of the K8s cluster.
What is the purpose of contract between EPGs in Cisco ACI?,"A contract between EPGs provides connectivity between nodes and services, allowing them to communicate with each other."
How do Kubernetes clusters become connected to devices outside the fabric using transit routing?,Transit routing needs to be configured between the Calico L3Out and one (or more) L3Outs connecting to an external routed domain. This allows nodes in the cluster to communicate with devices outside the fabric.
What is the benefit of using a dual-stack design in Cisco ACI?,"A dual-stack design supports both IPv4 and IPv6 addresses, providing flexibility for networks that need to support multiple address families."
How do Kubernetes clusters become connected to other EPGs in the network using transit routing?,"All that is required is a contract between those EPGs, which provides connectivity between nodes and services."
What is the purpose of visibility in Cisco ACI design guides?,Visibility allows network administrators to easily verify the status of the K8s cluster by visualizing the BGP neighbors configured under the L3Out logical interface profile.
How do Kubernetes clusters become connected to devices outside the fabric using transit routing and contracts?,"Transit routing needs to be configured between the Calico L3Out and one (or more) L3Outs connecting to an external routed domain. Additionally, a contract is required between those EPGs to provide connectivity."
What are the benefits of using the Cisco ACI design guide for Kubernetes clusters?,"The Cisco ACI design guide provides best practices for configuring transit routing and connectivity between nodes and services, allowing network administrators to easily verify the status of the K8s cluster."
What is the purpose of Reverse Filter ports when configuring filters in Cisco ACI?,"Reverse Filter ports should be used always when Apply Both Directions is enabled, and they deploy exactly as defined for both consumer-to-provider and provider-to-consumer directions with source and destination ports reversed."
How are BGP Neighbor State changes verified in Cisco ACI?,"Each neighbor's state can be also verified by examining the figure shown on Page 37 of the document, which displays a visual representation of the BGP Neighbor State."
What is the relationship between L3Out VRF and routing tables in Kubernetes clusters?,"The routes learned from K8s nodes are rendered at the L3Out VRF level, as shown in Figure 7, which provides an overview of the VRF Routing Table."
How can micro segmentation be applied to Kubernetes clusters based on specific pod endpoints or services?,"To apply micro segmentation, it is possible to create external EPGs that match specific workload intended for micro segmentation, using contracts such as service graphs and PBR."
What is the requirement for CNI plugin support in order for a Kubernetes distribution to work with Cisco ACI?,"Theoretically, any K8s distribution can support this architecture if the CNI plugin supports peering through BGP."
Which Kubernetes distributions have been tested to work with Cisco ACI and Calico?,"The following combinations have been tested: Upstream Kubernetes (Calico, Cilium, Kube-router), OpenShift 4.x (Calico), and Tanzu (Calico)."
What is the benefit of using Calico as a CNI plugin in conjunction with Cisco ACI?,Calico provides excellent support for Kubernetes clusters that need to deliver both high performance and exceptional resilience.
How does Cisco ACI contribute to the design simplicity and manageability of Kubernetes clusters?,"By combining Cisco ACI with Calico, customers can create Kubernetes clusters that are simple to manage and troubleshoot, while still delivering high performance."
What is the purpose of service graphs in micro segmentation architecture for Kubernetes clusters?,Service graphs provide a way to visualize and manage complex network services and their interactions within the cluster.
How does PBR (Policy-Based Routing) contribute to the functionality of micro segmentation in Kubernetes clusters?,"PBR allows for more fine-grained control over traffic routing, enabling redirection of specific critical services to firewalls that log and perform network traffic analysis."
